date,gas_weight_kg,daily_usage_kg,cylinder_type,gas_percentage,days_since_refill,day_of_week,weekend,consumption_rate,usage_velocity,rolling_avg_7,days_remaining,refill_price_lkr,price_per_kg_lkr,estimated_monthly_cost
2026-01-01,5.0,0.07248357076505617,5kg Standard,100.0,0,3,0,0.0007248357076505617,0.0,0.0831670713493197,60,1910,382,830.6617209675437
2026-01-02,4.925691321505856,0.07430867849414408,5kg Standard,98.51382643011712,1,4,0,0.0007542969468032644,0.0018251077290879075,0.0831670713493197,59,1910,382,851.5774555428911
2026-01-03,4.842452878815353,0.08323844269050347,5kg Standard,96.84905757630705,2,5,1,0.0008594656961418564,0.008929764196359394,0.0831670713493197,58,1910,382,953.9125532331698
2026-01-04,4.744837729533312,0.09761514928204013,5kg Standard,94.89675459066625,3,6,1,0.0010286458130533502,0.014376706591536656,0.0831670713493197,57,1910,382,1118.6696107721798
2026-01-05,4.646008496406929,0.09882923312638332,5kg Standard,92.92016992813859,4,0,0,0.0010635929013347114,0.0012140838443431973,0.0831670713493197,56,1910,382,1132.5830116283528
2026-01-06,4.552179181191675,0.0938293152152541,5kg Standard,91.04358362383348,5,1,0,0.0010305977805413556,-0.00499991791112922,0.0831670713493197,55,1910,382,1075.283952366812
2026-01-07,4.471283117114138,0.08089606407753695,5kg Standard,89.42566234228275,6,2,0,0.0009046180029162302,-0.01293325113771715,0.08588577909298832,54,1910,382,927.0688943285735
2026-01-08,4.397445943468373,0.07383717364576455,5kg Standard,87.94891886936746,7,3,0,0.0008395461205775206,-0.007058890431772408,0.0860791509330895,53,1910,382,846.1740099804616
2026-01-09,4.324793315398048,0.07265262807032524,5kg Standard,86.49586630796095,8,4,0,0.0008399549154366745,-0.0011845455754393025,0.08584257230111539,52,1910,382,832.5991176859272
2026-01-10,4.242080515180118,0.08271280021792983,5kg Standard,84.84161030360235,9,5,1,0.0009749084196061973,0.010060172147604587,0.08576748051931916,51,1910,382,947.8886904974759
2026-01-11,4.15439760364418,0.08768291153593769,5kg Standard,83.08795207288361,10,6,1,0.0010553023554970213,0.0049701113180078554,0.08434858941273309,50,1910,382,1004.8461662018459
2026-01-12,4.056726252412032,0.09767135123214872,5kg Standard,81.13452504824063,11,0,0,0.0012038198433290351,0.009988439696211035,0.08418317771355673,49,1910,382,1119.3136851204242
2026-01-13,3.9605164410542018,0.09620981135783017,5kg Standard,79.21032882108403,12,1,0,0.0012146119425301674,-0.001461539874318546,0.08452324859106759,48,1910,382,1102.5644381607337
2026-01-14,3.8970828422774906,0.06343359877671101,5kg Standard,77.94165684554982,13,2,0,0.0008138600248441195,-0.032776212581119166,0.0820286106909496,47,1910,382,726.9490419811082
2026-01-15,3.835707431440056,0.06137541083743484,5kg Standard,76.71414862880111,14,3,0,0.0008000533400222396,-0.0020581879392761668,0.08024835886118821,46,1910,382,703.3622081970033
2026-01-16,3.7635188690862607,0.07218856235379513,5kg Standard,75.27037738172521,15,4,0,0.00095905673473243,0.010813151516360288,0.08018206375882676,45,1910,382,827.2809245744921
2026-01-17,3.688583024687933,0.07493584439832789,5kg Standard,73.77166049375866,16,5,1,0.0010157809095901768,0.002747282044532756,0.07907107007031221,44,1910,382,858.7647768048375
2026-01-18,3.5970117880249566,0.09157123666297637,5kg Standard,71.94023576049912,17,6,1,0.0012728792961956934,0.016635392264648483,0.07962654508846058,43,1910,382,1049.4063721577093
2026-01-19,3.5015519084025626,0.09545987962239395,5kg Standard,70.03103816805125,18,0,0,0.0013631081606033301,0.0038886429594175848,0.07931062057278135,42,1910,382,1093.9702204726348
2026-01-20,3.413613426909239,0.08793848149332355,5kg Standard,68.27226853818478,19,1,0,0.0012880556538726912,-0.007521398129070406,0.07812900202070895,41,1910,382,1007.7749979134879
